ADCP, Left Section, Top Section, Middle Section, Right SectionSontek (SmartPulseHD)
Sontek (SmartPulseHD),0.006912606283583178,0.1246765530728089,0.28013799493811525,0.003331499817640026
Sontek (manual setting),0.015220078655262523,0.18206627979935228,0.23969900131723193,0.006460906178713692
StreamPro,0.02101732711825645,0.2226494495303628,0.5102075125954345,0.012538018125582463
