Day,Num,Left_q,Top_q,Middle_q,Right_q,
Monday morning,1,-0.0016625000000000001,0.5205132245299999,0.9732859550999999,6.199019913866516e-05
Monday morning,2,-0.0016625000000000001,0.521711400516,0.9720247172199998,0.00013241993962515535
Monday morning,3,-0.0016625000000000001,0.5218788905035,0.9718484119699999,0.00015742137870350257
Monday morning,4,-0.0016625000000000001,0.522093898674,0.9716220875799999,0.00020778117018623466
Monday afternoon,1,-0.0018375000000000002,0.6430748709600002,1.0234467584,0.00023514251235857858
Monday afternoon,2,-0.0018375000000000002,0.6440160758790001,1.02394212941,0.0001860108526323705
Monday afternoon,3,-0.0018375000000000002,0.6411159683570001,1.02241575703,0.000522229058830856
Monday afternoon,4,-0.0018375000000000002,0.6409312445240002,1.02231853396,0.0005901766027871645
Tuesday morning,1,0.0125510625,0.608355535524,1.145623399934875,0.002111570010018696
Tuesday morning,2,0.0125510625,0.609458236776,1.14674967868075,0.0019244006710696713
Tuesday morning,3,0.0125510625,0.609170640882,1.1464559335324376,0.0019699421905455105
Tuesday morning,4,0.0125510625,0.60650779833,1.1437361552021874,0.0025227090363257494
Tuesday morning,5,0.0125510625,0.603916816818,1.1410897744144375,0.0034701602653859605
Tuesday morning,6,0.0125510625,0.604594768662,1.1417822219393123,0.003159658301310824
Tuesday morning,7,0.0125510625,0.605412855576,1.14261780084325,0.0028517464991824185
Tuesday morning,8,0.0125510625,0.606714413982,1.1439471886230623,0.0024689539910776478
Tuesday afternoon,1,0.009212510416666667,0.5951415935919999,1.1381975349299998,0.0005421371496671875
Tuesday afternoon,2,0.009212510416666667,0.5729011195854999,1.1224276081856248,0.002656125820262246
Tuesday afternoon,3,0.009212510416666667,0.5749908919465,1.123909391219375,0.0019438944369792193
Tuesday afternoon,4,0.009212510416666667,0.583043670886,1.1296193295024999,0.0009560373517986307
Wednesday morning,1,0.04902583333333333,0.42909320545150004,1.3704259894642337,0.0006182287259117126
Wednesday morning,2,0.04902583333333333,0.42789836252150004,1.3667156877342337,0.0009145194933392822
Wednesday morning,3,0.04902583333333333,0.4281419193795,1.3674719958722337,0.0008331295029933666
Wednesday morning,4,0.04902583333333333,0.42783068297300003,1.3665055249257336,0.0009400383458875322
Wednesday morning,5,0.04902583333333333,0.42787673355800004,1.3666485241107336,0.00092252282748142
Wednesday morning,6,0.04902583333333333,0.428390565245,1.3682441067177336,0.0007637384372785059
